symbol,name,reportDate,fiscalDateEnding,estimate,currency
AHEXY,AHEXY,2023-11-02,2023-09-30,0.4464,EUR
AHFCF,AHFCF,2023-11-16,2023-09-30,,CAD
AHG,Akso Health Group,2023-12-03,2023-09-30,,USD
AHH,Armada Hoffler Properties Inc,2023-11-06,2023-09-30,0.09,USD
AHIX,AHIX,2023-11-14,2023-09-30,0,USD
AHKSY,AHKSY,2023-11-08,2023-09-30,0.244,JPY
AHOTF,AHOTF,2023-11-06,2023-09-30,,USD
AHPI,AHPI,2023-10-05,2023-09-30,,USD
AHT,Ashford Hospitality Trust Inc,2023-10-31,2023-09-30,-1.3,USD
AI,C3.ai Inc - Class A,2023-12-05,2023-10-31,-0.18,USD
AIAD,AIAD,2023-11-20,2023-09-30,,USD
AIAGY,AIAGY,2023-12-06,2023-09-30,0.897,EUR
AIFLF,AIFLF,2023-11-07,2023-09-30,,JPY
AIFLY,AIFLY,2023-11-13,2023-09-30,0,JPY
AIFS,AIFS,2023-11-07,2023-09-30,,USD
AIG,American International Group Inc,2023-10-30,2023-09-30,1.56,USD
AIH,Aesthetic Medical International Holdings Group Ltd,2023-11-26,2023-09-30,,CNY
AIHS,Senmiao Technology Ltd,2023-11-12,2023-09-30,,USD
AIKI,AIKI,2023-11-15,2023-09-30,,USD
AILLP,AILLP,2023-11-04,2023-09-30,,USD
AILQF,AILQF,2023-11-15,2023-09-30,,CAD
AIM,AIM ImmunoTech Inc,2023-11-13,2023-10-31,-0.11,USD
AIMC,AIMC,2023-10-30,2023-09-30,,USD
AIMD,Ainos Inc,2023-11-06,2023-09-30,0,USD
AIMFF,AIMFF,2023-11-07,2023-09-30,,CAD
AIN,Albany International Corp - Class A,2023-10-23,2023-09-30,0.92,USD
AINC,Ashford Inc,2023-11-01,2023-09-30,1.61,USD
AIP,Arteris Inc,2023-11-06,2023-09-30,-0.18,USD
AIQUY,AIQUY,2023-10-25,2023-09-30,0,EUR
AIR,AAR Corp,2023-09-26,2023-08-31,0.7,USD
AIR,AAR Corp,2023-12-18,2023-11-30,0.7633,USD
AIRC,Apartment Income REIT Corp - Class A,2023-11-01,2023-09-30,0.08,USD
AIRG,Airgain Inc,2023-11-08,2023-09-30,-0.02,USD
AIRI,Air Industries Group,2023-11-13,2023-09-30,,USD
AIRS,Airsculpt Technologies Inc,2023-11-08,2023-09-30,-0.02,USD
AIRT,Air T Inc,2023-11-08,2023-09-30,,USD
AIRYY,AIRYY,2023-11-02,2023-09-30,1.01,CNY
AIT,Applied Industrial Technologies Inc,2023-10-25,2023-09-30,2.09,USD
AITX,AITX,2023-10-19,2023-08-31,,USD
AIV,Apartment Investment & Management Co. - Class A,2023-11-06,2023-09-30,,USD
AIVN,AIVN,2023-11-01,2023-08-31,0,USD
AIXN,AIXN,2023-11-20,2023-09-30,,USD
AIZ,Assurant Inc,2023-10-30,2023-09-30,2.23,USD
AJG,Arthur J. Gallagher & Company,2023-10-25,2023-09-30,1.95,USD
AJIA,AJIA,2023-10-13,2023-09-30,,USD
AJINY,AJINY,2023-11-08,2023-09-30,0,JPY
AJRD,AJRD,2023-10-30,2023-09-30,0.52,USD
AJX,Great Ajax Corp,2023-11-01,2023-09-30,0.05,USD
AKA,a.k.a. Brands Holding Corp,2023-11-08,2023-09-30,-0.0114,USD
AKAM,Akamai Technologies Inc,2023-11-06,2023-09-30,1.5,USD
AKBA,Akebia Therapeutics Inc,2023-11-01,2023-09-30,-0.08,USD
AKBTY,AKBTY,2023-10-26,2023-09-30,0.1495,TRY
AKLI,Akili Inc,2023-11-09,2023-09-30,-0.2039,USD
AKO-A,Embotelladora Andina S.A.,2023-11-01,2023-09-30,0.2611,CLP
AKO-B,Embotelladora Andina S.A.,2023-11-01,2023-09-30,0.2611,CLP
AKOM,AKOM,2023-10-04,2023-09-30,,USD
AKR,Acadia Realty Trust,2023-10-30,2023-09-30,-0.01,USD
AKRFF,AKRFF,2023-11-07,2023-09-30,,CAD
AKRO,Akero Therapeutics Inc,2023-11-02,2023-09-30,-0.68,USD
AKTAF,AKTAF,2023-11-01,2023-09-30,,CAD
AKTS,Akoustis Technologies Inc,2023-11-13,2023-09-30,-0.18,USD
AKTX,Akari Therapeutics Plc,2023-12-01,2023-09-30,-0.6,USD
AKYA,Akoya Biosciences Inc,2023-11-06,2023-09-30,-0.37,USD
AKZOY,AKZOY,2023-10-25,2023-09-30,0.462,EUR
AL,Air Lease Corp - Class A,2023-11-01,2023-09-30,1.12,USD
ALB,Albemarle Corp,2023-10-31,2023-09-30,4.1,USD
ALBKY,ALBKY,2023-11-09,2023-09-30,0.0249,EUR
ALBO,ALBO,2023-11-06,2023-09-30,,USD
ALBT,Avalon GloboCare Corp,2023-11-13,2023-09-30,,USD
ALBY,ALBY,2023-10-20,2023-09-30,,USD
ALC,Alcon Inc,2023-11-15,2023-09-30,0.6634,USD
ALCO,Alico Inc,2023-12-04,2023-09-30,-0.34,USD
ALDS,ALDS,2023-10-07,2023-09-30,,USD
ALDX,Aldeyra Therapeutics Inc,2023-11-08,2023-09-30,-0.32,USD
ALE,Allete Inc,2023-11-07,2023-09-30,0.68,USD
ALEAF,ALEAF,2023-11-07,2023-09-30,,CAD
ALEC,Alector Inc,2023-11-06,2023-09-30,-0.66,USD
ALEX,Alexander & Baldwin Inc,2023-11-01,2023-09-30,0.12,USD
ALFVY,ALFVY,2023-10-25,2023-09-30,0.3816,SEK
ALG,Alamo Group Inc,2023-11-01,2023-09-30,2.67,USD
ALGM,Allegro Microsystems Inc,2023-10-25,2023-09-30,0.37,USD
ALGN,Align Technology Inc,2023-10-25,2023-09-30,2.27,USD
ALGS,Aligos Therapeutics Inc,2023-10-31,2023-09-30,-0.47,USD
ALGT,Allegiant Travel,2023-10-31,2023-09-30,0.45,USD
ALHC,Alignment Healthcare Inc,2023-11-01,2023-09-30,-0.18,USD
ALIF,ALIF,2023-11-10,2023-09-30,0,USD
ALIM,Alimera Sciences Inc,2023-11-13,2023-09-30,-0.06,USD
ALIT,Alight Inc - Class A,2023-11-06,2023-09-30,0.13,USD
ALIZY,ALIZY,2023-11-10,2023-09-30,0.7015,EUR
ALK,Alaska Air Group Inc,2023-10-18,2023-09-30,2.08,USD
ALKS,Alkermes plc,2023-10-30,2023-09-30,0.44,USD
ALKT,Alkami Technology Inc,2023-11-01,2023-09-30,-0.01,USD
ALL,Allstate Corp (The),2023-11-01,2023-09-30,0.63,USD
ALLE,Allegion plc,2023-10-25,2023-09-30,1.73,USD
ALLG,Allego NV,2023-11-13,2023-09-30,-0.01,EUR
ALLK,Allakos Inc,2023-11-06,2023-09-30,-0.46,USD
ALLO,Allogene Therapeutics Inc,2023-10-31,2023-09-30,-0.52,USD
ALLT,Allot Ltd,2023-11-13,2023-09-30,-0.27,USD
ALLY,Ally Financial Inc,2023-10-18,2023-09-30,0.81,USD
ALMC,ALMC,2023-10-19,2023-09-30,0,USD
ALMTF,ALMTF,2023-11-13,2023-09-30,,CAD
ALNAQ,ALNAQ,2023-11-09,2023-09-30,0,USD
ALNPY,ALNPY,2023-10-31,2023-09-30,0.117,JPY
ALNT,Allient Inc,2023-10-31,2023-09-30,0.53,USD
ALNY,Alnylam Pharmaceuticals Inc,2023-10-25,2023-09-30,-1.44,USD
ALOT,AstroNova Inc,2023-12-05,2023-10-31,0.12,USD
ALPMY,ALPMY,2023-11-02,2023-09-30,0.2348,JPY
ALPN,Alpine Immune Sciences Inc,2023-11-13,2023-09-30,-0.34,USD
ALR,ALR,2023-10-31,2023-09-30,,USD
ALRM,Alarm.com Holdings Inc,2023-11-06,2023-09-30,0.4,USD
ALRN,Aileron Therapeutics Inc,2023-10-30,2023-09-30,,USD
ALRS,Alerus Financial Corp,2023-10-25,2023-09-30,0.36,USD
ALSMY,ALSMY,2023-11-14,2023-09-30,0,EUR
ALSN,Allison Transmission Holdings Inc,2023-10-24,2023-09-30,1.71,USD
ALT,Altimmune Inc,2023-11-08,2023-09-30,-0.41,USD
ALTG,Alta Equipment Group Inc - Class A,2023-11-07,2023-09-30,0.05,USD
ALTO,Alto Ingredients Inc,2023-11-06,2023-09-30,0.09,USD
ALTR,Altair Engineering Inc - Class A,2023-11-01,2023-09-30,0.04,USD
ALTU,Altitude Acquisition Corp - Class A,2023-11-14,2023-09-30,,USD
ALV,Autoliv Inc,2023-10-20,2023-09-30,1.84,USD
ALVO,Alvotech,2023-11-13,2023-09-30,0,USD
ALVOF,ALVOF,2023-11-13,2023-09-30,,USD
ALVR,AlloVir Inc,2023-11-01,2023-09-30,-0.42,USD
ALX,Alexander`s Inc,2023-10-30,2023-09-30,,USD
ALXO,Alx Oncology Holdings Inc,2023-11-06,2023-09-30,-0.87,USD
ALXXF,ALXXF,2023-11-23,2023-09-30,,CAD
ALYA,Alithya Group Inc - Class A - Class A (Sub Voting),2023-11-08,2023-09-30,-0.0161,CAD
AM,Antero Midstream Corp,2023-10-24,2023-09-30,0.2,USD
AMADY,AMADY,2023-11-07,2023-09-30,0.7298,EUR
AMAL,Amalgamated Financial Corp,2023-10-25,2023-09-30,0.7,USD
AMAM,Ambrx Biopharma Inc,2023-10-26,2023-09-30,-0.0483,USD
AMAT,Applied Materials Inc,2023-11-16,2023-10-31,2,USD
AMBA,Ambarella Inc,2023-11-29,2023-10-31,-0.39,USD
AMBC,AMBAC Financial Group Inc,2023-11-06,2023-09-30,-0.18,USD
